"Tabela 137 - População residente, por religião"
"Variável - População residente (Pessoas)"
"Município","Ano x Religião"
"Município","2000"
"Município","Total","Católica Apostólica Romana","Evangélicas","Outras religiosidades cristãs","Testemunhas de Jeová","Espírita","Umbanda e Candomblé","Judaica","Judaísmo","Budismo","Islâmica","Islamismo","Sem religião","Não determinada e multiplo pertencimento"
"Bom Jesus (RS)","12014","10336","1414","...","-","77","...","-","...","-","-","...","150","..."
"Bom Princípio (RS)","9494","9162","290","...","-","19","...","-","...","-","-","...","19","..."
"Bom Progresso (RS)","2831","1634","1000","...","-","107","...","-","...","-","-","...","90","..."
"Bom Retiro do Sul (RS)","10788","8857","1690","...","5","93","...","-","...","-","4","...","114","..."
"Boqueirão do Leão (RS)","7825","7632","147","...","-","28","...","-","...","-","-","...","18","..."
"Bossoroca (RS)","7757","5371","1049","...","6","177","...","-","...","-","-","...","1119","..."
"Bozano (RS)","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"Braga (RS)","4198","3468","529","...","-","7","...","-","...","-","-","...","194","..."
"Brochier (RS)","4372","2591","1781","...","-","-","...","-","...","-","-","...","-","..."
"Butiá (RS)","20322","15181","3004","...","53","80","...","-","...","-","-","...","1661","..."
"Caçapava do Sul (RS)","34643","29164","2767","...","197","873","...","-","...","-","9","...","771","..."
"Cacequi (RS)","15311","11991","1596","...","49","530","...","-","...","9","-","...","874","..."
"Cachoeira do Sul (RS)","87873","74515","10433","...","228","658","...","21","...","-","13","...","1185","..."
"Cachoeirinha (RS)","107564","82027","15175","...","335","1477","...","12","...","73","56","...","5993","..."
"Cacique Doble (RS)","4770","4419","329","...","-","-","...","-","...","-","-","...","22","..."
"Caibaté (RS)","7243","6213","817","...","-","94","...","-","...","-","-","...","113","..."
"Caiçara (RS)","5580","5144","406","...","-","-","...","-","...","-","-","...","30","..."
"Camaquã (RS)","60383","44309","14328","...","107","264","...","-","...","-","-","...","1084","..."
"Camargo (RS)","2498","2320","157","...","-","-","...","-","...","-","-","...","21","..."
"Cambará do Sul (RS)","6840","5899","732","...","10","67","...","-","...","-","-","...","39","..."
"Campestre da Serra (RS)","3170","3061","51","...","-","-","...","-","...","-","-","...","5","..."
"Campina das Missões (RS)","7014","6404","421","...","-","-","...","-","...","-","-","...","19","..."
"Campinas do Sul (RS)","8258","7606","617","...","-","3","...","-","...","-","-","...","24","..."
"Campo Bom (RS)","54018","41142","11296","...","377","152","...","-","...","-","-","...","971","..."
"Campo Novo (RS)","6721","5140","1390","...","5","18","...","-","...","-","-","...","144","..."
"Campos Borges (RS)","3785","3475","302","...","-","-","...","-","...","-","-","...","8","..."
"Candelária (RS)","29585","18852","10077","...","60","208","...","-","...","-","-","...","359","..."
"Cândido Godói (RS)","7092","5081","1862","...","86","-","...","-","...","-","-","...","26","..."
"Candiota (RS)","8065","6406","861","...","28","315","...","-","...","-","-","...","422","..."
"Canela (RS)","33625","28876","3584","...","254","82","...","-","...","-","-","...","642","..."
"Canguçu (RS)","51447","26303","21660","...","71","1170","...","-","...","-","38","...","1912","..."
"Canoas (RS)","306093","231769","38746","...","2090","6456","...","-","...","195","91","...","15013","..."
"Canudos do Vale (RS)","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"Capão Bonito do Sul (RS)","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"Capão da Canoa (RS)","30498","25044","3453","...","441","262","...","34","...","10","-","...","523","..."
"Capão do Cipó (RS)","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"Capão do Leão (RS)","23718","10173","4823","...","61","802","...","-","...","-","-","...","6375","..."
"Capivari do Sul (RS)","3107","2665","296","...","40","10","...","-","...","-","-","...","57","..."
"Capela de Santana (RS)","10032","7944","1911","...","11","9","...","-","...","-","-","...","104","..."
"Capitão (RS)","2565","2444","115","...","-","-","...","-","...","-","-","...","-","..."
"Carazinho (RS)","59894","47873","9608","...","506","302","...","33","...","-","-","...","771","..."
"Caraá (RS)","6403","5309","634","...","7","117","...","-","...","-","-","...","143","..."
"Carlos Barbosa (RS)","20519","19135","1164","...","74","34","...","-","...","-","-","...","34","..."
"Carlos Gomes (RS)","1912","1880","10","...","-","-","...","-","...","-","-","...","-","..."
"Casca (RS)","8440","8319","87","...","6","11","...","-","...","-","-","...","11","..."
"Caseiros (RS)","2899","2685","187","...","-","-","...","-","...","-","-","...","27","..."
"Catuípe (RS)","10198","8823","1236","...","4","48","...","-","...","-","-","...","82","..."
"Caxias do Sul (RS)","360419","310642","30525","...","3257","5052","...","29","...","-","77","...","6210","..."
"Centenário (RS)","3127","3076","46","...","-","-","...","-","...","-","-","...","-","..."
"Cerrito (RS)","6925","3046","1958","...","71","135","...","-","...","-","-","...","1503","..."
"Cerro Branco (RS)","4297","2368","1896","...","30","-","...","-","...","-","-","...","2","..."
"Cerro Grande (RS)","2601","2242","325","...","-","-","...","-","...","-","-","...","34","..."
"Cerro Grande do Sul (RS)","8273","6932","1297","...","-","5","...","-","...","-","-","...","39","..."
"Cerro Largo (RS)","12665","11483","791","...","122","19","...","-","...","-","-","...","235","..."
"Chapada (RS)","9746","8185","1529","...","-","-","...","-","...","-","-","...","32","..."
"Charqueadas (RS)","29961","22890","3743","...","113","879","...","-","...","10","24","...","1659","..."
"Charrua (RS)","3783","2829","954","...","-","-","...","-","...","-","-","...","-","..."
"Chiapetta (RS)","4481","3165","1239","...","-","-","...","-","...","-","-","...","71","..."
"Chuí (RS)","5167","2194","351","...","175","24","...","-","...","-","156","...","1990","..."
"Chuvisca (RS)","4502","2632","1843","...","-","-","...","-","...","-","-","...","21","..."
"Cidreira (RS)","8882","7239","871","...","60","274","...","-","...","-","-","...","129","..."
"Ciríaco (RS)","5252","4952","274","...","-","-","...","-","...","-","-","...","27","..."
"Colinas (RS)","2462","989","1462","...","-","-","...","-","...","-","-","...","11","..."
"Colorado (RS)","4072","3871","153","...","-","-","...","-","...","-","-","...","-","..."
"Condor (RS)","6491","3096","3294","...","-","-","...","-","...","-","-","...","78","..."
"Constantina (RS)","11667","9537","2017","...","15","40","...","-","...","-","-","...","44","..."
"Coqueiro Baixo (RS)","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"Coqueiros do Sul (RS)","2695","1398","1282","...","-","-","...","-","...","-","-","...","4","..."
"Coronel Barros (RS)","2454","821","1562","...","-","-","...","-","...","-","-","...","71","..."
"Coronel Bicaco (RS)","8435","6835","1381","...","26","14","...","-","...","-","-","...","50","..."
"Coronel Pilar (RS)","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"Cotiporã (RS)","4093","4049","42","...","-","-","...","-","...","-","-","...","-","..."
"Coxilha (RS)","2979","2730","239","...","-","5","...","-","...","-","-","...","-","..."
"Crissiumal (RS)","15180","10184","4897","...","39","-","...","-","...","-","-","...","49","..."
"Cristal (RS)","6632","4143","2130","...","85","49","...","-","...","-","-","...","213","..."
"Cristal do Sul (RS)","2874","2356","454","...","-","-","...","-","...","-","-","...","11","..."
"Cruz Alta (RS)","71254","58743","8471","...","576","1288","...","8","...","21","-","...","1303","..."
"Cruzaltense (RS)","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"Cruzeiro do Sul (RS)","11664","10219","1366","...","16","5","...","-","...","-","-","...","57","..."
"David Canabarro (RS)","4740","4668","58","...","-","-","...","-","...","-","-","...","4","..."
"Derrubadas (RS)","3715","2633","1042","...","-","-","...","-","...","-","-","...","41","..."
"Dezesseis de Novembro (RS)","3444","2389","762","...","-","30","...","-","...","-","-","...","37","..."
"Dilermando de Aguiar (RS)","3200","2698","261","...","25","81","...","-","...","-","-","...","48","..."
"Dois Irmãos (RS)","22435","18714","3200","...","69","42","...","-","...","30","-","...","329","..."
"Dois Irmãos das Missões (RS)","2365","1662","626","...","-","-","...","-","...","-","-","...","76","..."
"Dois Lajeados (RS)","3224","3195","26","...","-","-","...","-","...","-","-","...","3","..."
"Dom Feliciano (RS)","13297","12243","1026","...","-","9","...","-","...","-","-","...","14","..."
"Dom Pedro de Alcântara (RS)","2636","2526","63","...","30","-","...","-","...","-","-","...","17","..."
"Dom Pedrito (RS)","40410","28722","5172","...","87","1763","...","-","...","14","-","...","3741","..."
"Dona Francisca (RS)","3902","3414","437","...","-","13","...","-","...","-","-","...","38","..."
"Doutor Maurício Cardoso (RS)","6329","4079","2125","...","48","-","...","-","...","-","-","...","48","..."
"Doutor Ricardo (RS)","2128","2054","68","...","-","-","...","-","...","-","-","...","6","..."
"Eldorado do Sul (RS)","27268","19294","4522","...","481","652","...","41","...","-","53","...","1425","..."
"Encantado (RS)","18528","17156","1241","...","46","23","...","-","...","-","-","...","62","..."
"Encruzilhada do Sul (RS)","23902","21676","936","...","37","276","...","-","...","-","-","...","497","..."
"Engenho Velho (RS)","2134","1907","194","...","-","20","...","-","...","-","-","...","13","..."
"Entre-Ijuís (RS)","9702","6650","2604","...","109","164","...","-","...","-","-","...","150","..."
"Entre Rios do Sul (RS)","3491","3081","347","...","-","-","...","-","...","-","-","...","52","..."
"Erebango (RS)","3023","2540","364","...","24","-","...","-","...","-","-","...","95","..."
"Erechim (RS)","90347","77482","10229","...","529","641","...","103","...","-","18","...","815","..."
"Ernestina (RS)","3941","2858","1068","...","-","-","...","-","...","-","-","...","16","..."
"Herval (RS)","8487","6242","991","...","24","102","...","-","...","-","-","...","1037","..."
"Erval Grande (RS)","5647","5102","503","...","14","-","...","-","...","-","-","...","15","..."
"Erval Seco (RS)","9177","6117","2883","...","-","-","...","-","...","-","-","...","159","..."
"Esmeralda (RS)","5521","4860","611","...","21","4","...","-","...","-","-","...","12","..."
"Esperança do Sul (RS)","3755","1702","2044","...","-","-","...","-","...","-","-","...","4","..."
"Espumoso (RS)","16185","14724","1064","...","27","169","...","-","...","-","-","...","162","..."
"Estação (RS)","6228","5649","501","...","40","-","...","-","...","-","5","...","33","..."
"Estância Velha (RS)","35132","26662","7321","...","221","38","...","-","...","11","8","...","534","..."
"Esteio (RS)","80048","62610","9929","...","500","1870","...","-","...","-","-","...","3020","..."
"Estrela (RS)","27401","21313","5594","...","156","122","...","-","...","-","-","...","196","..."
"Estrela Velha (RS)","3691","2811","861","...","-","-","...","-","...","-","-","...","19","..."
"Eugênio de Castro (RS)","3313","2141","861","...","-","121","...","-","...","-","-","...","161","..."
"Fagundes Varela (RS)","2471","2466","5","...","-","-","...","-","...","-","-","...","-","..."
"Farroupilha (RS)","55308","50327","3486","...","352","302","...","-","...","-","-","...","464","..."
"Faxinal do Soturno (RS)","6841","6310","447","...","-","-","...","-","...","-","-","...","28","..."
"Faxinalzinho (RS)","2923","2742","170","...","-","-","...","-","...","-","-","...","7","..."
"Fazenda Vilanova (RS)","2833","2539","262","...","27","-","...","-","...","-","-","...","5","..."
"Feliz (RS)","11316","9040","2137","...","51","-","...","-","...","-","-","...","82","..."
"Flores da Cunha (RS)","23678","22370","1008","...","31","88","...","-","...","-","-","...","161","..."
"Floriano Peixoto (RS)","2361","2146","211","...","-","-","...","-","...","-","-","...","3","..."
"Fontoura Xavier (RS)","11473","10894","385","...","34","139","...","-","...","-","-","...","21","..."
"Formigueiro (RS)","7598","6628","862","...","-","12","...","-","...","7","-","...","70","..."
"Forquetinha (RS)","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"Fortaleza dos Valos (RS)","5079","4137","909","...","-","-","...","-","...","-","-","...","23","..."
"Frederico Westphalen (RS)","26759","24835","1584","...","67","23","...","-","...","-","30","...","173","..."
"Garibaldi (RS)","28337","26991","1046","...","53","47","...","-","...","-","-","...","67","..."
"Garruchos (RS)","3675","3005","595","...","-","5","...","-","...","-","-","...","65","..."
"Gaurama (RS)","6391","5670","688","...","11","-","...","-","...","-","-","...","16","..."
"General Câmara (RS)","8737","7386","613","...","18","222","...","-","...","5","-","...","408","..."
"Gentil (RS)","1771","1741","23","...","-","-","...","-","...","-","-","...","6","..."
"Getúlio Vargas (RS)","16509","13621","2609","...","198","10","...","-","...","-","-","...","71","..."
"Giruá (RS)","18749","12996","5274","...","-","260","...","-","...","-","-","...","207","..."
"Glorinha (RS)","5684","4818","611","...","-","22","...","-","...","-","-","...","92","..."
"Gramado (RS)","28593","22486","5214","...","318","113","...","-","...","-","-","...","349","..."
"Gramado dos Loureiros (RS)","2543","2104","275","...","-","-","...","-","...","-","-","...","109","..."
"Gramado Xavier (RS)","3666","3527","131","...","-","-","...","-","...","-","-","...","-","..."
"Gravataí (RS)","232629","179751","29069","...","2516","3805","...","44","...","137","80","...","10985","..."
"Guabiju (RS)","1749","1733","16","...","-","-","...","-","...","-","-","...","-","..."
"Guaíba (RS)","94307","68475","13862","...","629","3433","...","-","...","29","-","...","4847","..."
"Guaporé (RS)","20064","18603","1052","...","63","-","...","-","...","-","-","...","188","..."
"Guarani das Missões (RS)","8990","7930","857","...","-","-","...","-","...","-","-","...","198","..."
"Harmonia (RS)","3659","3511","126","...","-","-","...","-","...","-","-","...","-","..."
"Herveiras (RS)","2957","2317","636","...","-","-","...","-","...","-","-","...","-","..."
